insert into jugonzalezv.VISTA_1 values (364922135,"Kristan Diana", "Bodenhamer Sardina" , 2940960, 3503833592 , "Cll 107D Sur Cra 2D" , "Femenino" , "kbodenhamer@ventascolombia.co" , "07/18/2017" , "Mercadeo" , "Community Manager " , 4000000 ,  null, null , null  , null, null , null  , null, null , null  , null ) 
insert into jugonzalezv.VISTA_1 values (742390081,"Melissa Angela", "Replogle Holtsclaw" , 2697883, 3199104098 , "Cll 116  Sur Cra 80A" , "Femenino" , "mreplogle@ventascolombia.co" , "01/9/1991" , "Sistemas e Informatica" , "Software Developer " , 4700000 ,  null, null , null  , null, null , null  , null, null , null  , null ) 
insert into jugonzalezv.VISTA_1 values (372588443,"Betty Nicole", "Wyatt Maestas" , 3591201, 3498634431 , "Cll 210E   Cra 37E" , "Femenino" , "bwyatt@ventascolombia.co" , "09/5/1992" , "Ventas" , "Web Seller " , 2000000 , "14%" ,330738595, " Madeleine Burnham " , 3699693, null , null  , null, null , null  , null ) 
insert into jugonzalezv.VISTA_1 values (461413684,"Jane Terri", "Mcfarlane Lehr" , 3015996, 3187427311 , "Cll 144  Sur Cra 85 " , "Femenino" , "jmcfarlane@ventascolombia.co" , "02/24/2016" , "Sistemas e Informatica" , "Director de DevOps " , 4500000 ,  null, null , null  , null, null , null  , null, null , null  , null ) 
insert into jugonzalezv.VISTA_1 values (683698143,"Daphne Linda", "Brodsky Londono" , 4130285, 3719586819 , "Cll 152D Sur Cra 74A" , "Femenino" , "dbrodsky@ventascolombia.co" , "02/13/2001" , "Mercadeo" , "Asesor de Mercadeo " , 2500000 ,  null, null , null  , null, null , null  , null, null , null  , null ) 
insert into jugonzalezv.VISTA_1 values (649918169,"Angela Virginia", "Wall Greco" , 5678657, 3730605491 , "Cll 16C   Cra 13 " , "Femenino" , "awall@ventascolombia.co" , "12/10/2016" , "Recursos Humanos" , "Contratacion " , 1500000 ,  null, null , null  , null, null , null  , null, null , null  , null ) 
insert into jugonzalezv.VISTA_1 values (1007623535,"Sanora Felicita", "Brown Martin" , 8728956, 3906956312 , "Cll 96B Sur Cra 57E" , "Femenino" , "sbrown@ventascolombia.co" , "05/28/2007" , "Ventas" , "Vendedor Call Center " , 2500000 , "9%" ,768973493, " Jennifer Noel " , 8894543, null , null  , null , 535482766, " Leah Hunt " , 3824141 ) 
insert into jugonzalezv.VISTA_1 values (800454077,"Doris Linda", "Vandenberge Pena" , 2158033, 3777138284 , "Cll 143E Sur Cra 34 " , "Femenino" , "dvandenberge@ventascolombia.co" , "12/24/1997" , "Recursos Humanos" , "Psicologia " , 4000000 ,  null, null , null  , null, null , null  , null, null , null  , null ) 
insert into jugonzalezv.VISTA_1 values (737857861,"Karen Patricia", "Carter Hinman" , 2862737, 3403075497 , "Cll 78E Sur Cra 3 " , "Femenino" , "kcarter@ventascolombia.co" , "04/25/1993" , "Ventas" , "Vendedor Voz a Voz " , 2500000 , "6%" ,666750104, " Robert Tice " , 8092078 , 283432368, " Janice Fino " , 7149327 , 1006322811, " Vivian Bachman " , 8578773 ) 
insert into jugonzalezv.VISTA_1 values (315189482,"Lynne Eula", "Verrett Moritz" , 6883926, 3213657032 , "Cll 98D   Cra 45A" , "Femenino" , "lverrett@ventascolombia.co" , "05/11/1991" , "Ventas" , "Vendedor Call Center " , 2000000 , "15%" ,737622774, " Richard Cloninger " , 3404462, null , null  , null, null , null  , null ) 
insert into jugonzalezv.VISTA_1 values (558553453,"Maribel Margaret", "Simons Charles" , 4337410, 3222080863 , "Cll 180D   Cra 17E" , "Femenino" , "msimons@ventascolombia.co" , "06/19/1997" , "Recursos Humanos" , "Psicologia " , 2700000 ,  null, null , null  , null, null , null  , null, null , null  , null ) 
